type	latitude	longitude	altitude	name	desc
T	46.036230000	-123.644970000	634.2		
T	46.036230000	-123.644960000	635.2		
T	46.035900000	-123.644370000	644.4		
T	46.035900000	-123.644360000	644.9		
T	46.035760000	-123.644130000	646.4		
T	46.035570000	-123.643910000	663.5		
T	46.034730000	-123.643180000	675.8		
T	46.034720000	-123.643180000	674.7		
T	46.033700000	-123.642150000	680.4		
T	46.033690000	-123.642150000	679.4		
T	46.033140000	-123.641510000	677.8		
T	46.031540000	-123.638700000	715.9		
T	46.031330000	-123.638410000	715.6		
T	46.031030000	-123.638110000	718.7		
T	46.030810000	-123.637960000	719.6		
T	46.030800000	-123.637960000	719.2		
T	46.030360000	-123.637670000	710.1		
T	46.030180000	-123.637510000	711.7		
T	46.030170000	-123.637490000	713.2		
T	46.030080000	-123.637400000	714.3		
T	46.029360000	-123.636480000	718.3		
T	46.029110000	-123.636090000	721.5		
T	46.029100000	-123.636090000	720.4		
T	46.029030000	-123.635970000	721.5		
T	46.029000000	-123.635890000	723.1		
T	46.028990000	-123.635880000	722.6		
T	46.028210000	-123.634170000	735.0		
T	46.028210000	-123.634160000	735.5		
T	46.027880000	-123.633510000	740.1		
T	46.027770000	-123.633340000	745.7		
T	46.027560000	-123.633110000	750.9		
T	46.027450000	-123.633050000	750.3		
T	46.025930000	-123.632600000	752.9		
T	46.025770000	-123.632500000	756.4		
T	46.025570000	-123.632330000	758.7		
T	46.025570000	-123.632320000	759.0		
T	46.025240000	-123.631980000	759.2		
T	46.024790000	-123.631300000	761.9		
T	46.024770000	-123.631290000	760.4		
T	46.024030000	-123.630160000	760.1		
T	46.024030000	-123.630140000	761.4		
T	46.023860000	-123.629820000	760.0		
T	46.023770000	-123.629540000	758.3		
T	46.023560000	-123.628590000	768.5		
T	46.023410000	-123.628120000	768.2		
T	46.023130000	-123.627470000	760.8		
T	46.022580000	-123.626370000	766.3		
T	46.022320000	-123.625950000	775.2		
T	46.022200000	-123.625830000	776.9		
T	46.022020000	-123.625690000	775.6		
T	46.021630000	-123.625460000	767.6		
T	46.021610000	-123.625460000	767.2		
T	46.021230000	-123.625270000	767.6		
T	46.020970000	-123.625170000	778.1		
T	46.018890000	-123.624120000	810.6		
T	46.018680000	-123.623950000	819.3		
T	46.018230000	-123.623300000	833.8		
T	46.018130000	-123.623210000	834.2		
T	46.017930000	-123.623090000	834.5		
T	46.017910000	-123.623090000	833.8		
T	46.017790000	-123.623040000	834.4		
T	46.015470000	-123.622380000	867.3		
T	46.015460000	-123.622370000	868.0		
T	46.013210000	-123.621310000	871.0		
T	46.010480000	-123.620340000	897.7		
T	46.010000000	-123.620110000	903.3		
T	46.009470000	-123.619750000	912.2		
T	46.009120000	-123.619550000	915.0		
T	46.009110000	-123.619550000	914.8		
T	46.009040000	-123.619500000	916.2		
T	46.008940000	-123.619470000	916.3		
T	46.008210000	-123.619370000	917.1		
T	46.008050000	-123.619330000	920.0		
T	46.007880000	-123.619260000	924.0		
T	46.007870000	-123.619260000	923.9		
T	46.007790000	-123.619220000	925.3		
T	46.007360000	-123.618870000	932.7		
T	46.007200000	-123.618810000	935.1		
T	46.006610000	-123.618700000	948.1		
T	46.006470000	-123.618630000	952.7		
T	46.006360000	-123.618540000	954.7		
T	46.006280000	-123.618450000	955.0		
T	46.006120000	-123.618210000	952.8		
T	46.005760000	-123.617560000	958.3		
T	46.005210000	-123.616770000	970.5		
T	46.004610000	-123.616100000	978.9		
T	46.004470000	-123.615910000	981.9		
T	46.004210000	-123.615420000	986.7		
T	46.004030000	-123.615180000	982.1		
T	46.003930000	-123.615090000	984.3		
T	46.003460000	-123.614810000	991.7		
T	46.003210000	-123.614700000	992.2		
T	46.002740000	-123.614430000	1003.8		
T	46.002360000	-123.614140000	1011.3		
T	46.002000000	-123.613620000	1022.9		
T	46.001770000	-123.613110000	1027.9		
T	46.001710000	-123.612910000	1029.5		
T	46.001710000	-123.612880000	1030.4		
T	46.001400000	-123.611700000	1044.8		
T	46.001400000	-123.611670000	1045.6		
